work_id,reward_type,formula_or_pseudocode,positive_reward,negative_reward,source_of_signal,granularity,applies_to,failure_modes,confidence
toolformer_2023,likelihood_filter / data_construction,"Keep/generated API call candidates when inserting the API result improves LM loss over the original text by a threshold; exact reward is a filtering criterion, not an RL reward.",lower LM loss after API result insertion,discard candidate API call when likelihood gain is insufficient,language-model likelihood over self-supervised API-call candidates,candidate API call,tool-use data construction,API-use decision can be myopic because each call is filtered locally.; No multi-turn credit assignment or semantic task-level reward is modeled.; Bad or irrelevant API calls are removed by likelihood heuristics rather than learned from environment feedback.,high
react_2022,environment_feedback / evaluation_metric,not specified,successful task completion,failed trajectory or wrong answer,environment observations and benchmark evaluator,trajectory / episode,inference-time reasoning-and-acting agents,Wrong observations or early bad actions can propagate through later reasoning.; Reasoning text can be plausible even when the action path is wrong.; Prompted action format can break in harder environments.,high
reflexion_2023,verbal_feedback / reflection_memory,not specified,successful episode or useful evaluator feedback,failed episode converted to corrective reflection,scalar or verbal task feedback,episode / attempt,inference-time language agents,Reflection memory may preserve misleading explanations if feedback is weak.; Self-reflection can mask semantic errors when the evaluator is shallow.; Repeated attempts still depend on the same task-level feedback bottleneck.,high
toolllm_toolbench_2023,LLM-as-judge / pass_rate,ToolEval pass rate = proportion of instructions completed within budget; win rate = pairwise evaluator preference over solution paths.,instruction completed within budget; preferred solution path,unsolved instruction or worse path,ChatGPT-backed ToolEval plus API responses,trajectory / solution path,ToolBench API-use evaluation,LLM evaluator can disagree with humans or miss subtle API misuse.; Temporal API variability complicates reproducible execution evaluation.; Pass rate hides where in a trajectory the tool-use failure occurred.,high
api_bank_2023,API_correctness / benchmark_metric,not specified in current extraction; benchmark scores API call correctness and task completion.,correct API call and completed task,"wrong API, wrong arguments, or task failure",benchmark ground truth / API evaluator,call and task,API-Bank evaluation,Benchmark metrics can conflate syntactic API correctness with semantic task success.; Coverage of realistic long-horizon user interaction is limited compared with later benchmarks.; APIBench/API-Bank naming ambiguity can pollute taxonomy if not kept separate.,high
agentbench_2023,environment_success_metric,not specified as a unified reward; each environment supplies its own success metric.,environment task success,failed episode,environment-specific evaluator,episode,multi-environment agent evaluation,Aggregated benchmark scores can hide environment-specific failure modes.; Long-horizon failures may stem from early bad actions and state drift.; Evaluation-only source does not tell how to train reward-seeking policies.,high
webarena_2023,functional_task_success,not specified as a generic formula; tasks are judged by functional success criteria.,web task completed according to evaluator,wrong final website state or failed task,WebArena task evaluator / environment state,episode,web-agent benchmark,Surface navigation may look plausible while failing the user goal.; Long web trajectories are vulnerable to early wrong clicks and state drift.; Functional success is sparse and gives little credit assignment.,high
swe_bench_2023,execution_test_pass,Reward/evaluation analogue: pass if generated patch resolves the issue under tests; fail otherwise.,all required tests pass / issue resolved,"test failure, patch failure, or unresolved issue",repository test execution,task / patch,software engineering agents,"Tests can be incomplete, so passing tests may not guarantee semantic correctness.; Long code-edit workflows have sparse terminal feedback.; Agents can overfit to visible tests or exploit benchmark artifacts.",high
tau_bench_2024,rule_based_task_success / pass^k,"r = r_action * r_output in {0,1}; pass^k estimates probability that all k independent trials succeed.",correct database outcome and necessary user-facing information,"wrong action, missing output, policy violation, or failed task","domain policy checks, database state, simulated user episode",episode / repeated trials,API transaction agents,Wrong information to the user and wrong domain-policy decisions are observed failure classes.; Pass^1 can overstate reliability because pass^k drops when behavior is inconsistent.; Binary terminal reward is sparse for multi-turn API transactions.,high
tora_2023,answer_correctness / execution_feedback_evaluation,not specified,correct final math answer,wrong final answer or invalid tool execution,math benchmark answer checker and tool execution,problem / trajectory,tool-integrated mathematical reasoning,Correct-looking tool traces can still yield wrong final answers.; Execution helps arithmetic but does not solve planning/semantic mistakes.; SFT on trajectories may not teach recovery from novel tool failures.,high
agenttuning_2023,benchmark_metric / SFT_evaluation,not specified,higher agent task score,lower task score,AgentInstruct / agent benchmark evaluation,task,generalized agent ability training,Instruction tuning can improve average behavior without explicit credit assignment.; Benchmark aggregation can hide which agent skills fail.; No reward design for online correction is provided.,high
fireact_2023,QA_accuracy / trajectory_quality,not specified,correct QA answer and useful trajectory,wrong answer or poor trajectory,QA benchmark metrics,trajectory,search-based language agents,Fine-tuning may imitate trajectories without learning when to recover.; Search observations can be misread or over-trusted.; QA correctness remains sparse at the final answer level.,high
xlam_2024,function_call_accuracy,not specified,correct function/tool call under benchmark evaluator,"wrong function, argument, or invalid call",function-calling benchmarks,call / task,large action models,Function-call accuracy can miss long-horizon task success.; Format correctness and semantic correctness may be conflated.; SFT action models may not adapt to unfamiliar tools.,high
toolace_2024,data_quality / function_call_benchmark,not specified,accurate function call and higher benchmark score,incorrect generated call or lower benchmark score,tool-learning data pipeline and function-calling evaluator,example / call,function-calling data generation,Generated data quality can overfit to benchmark formats.; Function-call syntax can improve without robust semantic tool use.; No online reward signal for recovery from tool errors is reported.,high
apigen_2024,format_execution_semantic_verification,Accept generated sample iff format_check && execution_check && semantic_check.,passes all verification stages,"fail format, fail execution, or fail semantic check","JSON parser, real function execution, LLM semantic checker",generated data point / function call,function-calling dataset generation,Format and execution checks filter many errors but semantic checker quality still matters.; Execution success alone may not imply the user intent was satisfied.; Generated data may inherit API/library coverage bias.,high
apigen_mt_2025,verifiable_blueprint / review_committee_filter,"Pipeline accepts blueprints/trajectories after format checks, execution checks, policy unit tests, and LLM review; exact scalar reward not specified.",valid executable blueprint and high-quality simulated trajectory,"format, execution, policy-test, or review failure","environment execution, unit tests, LLM reviewers, simulated human",blueprint / trajectory,multi-turn tool-use data generation,Simulated human can drift over turns.; Generated trajectories depend on verifier and reviewer reliability.; Blueprint correctness may not cover all realistic conversational variants.,high
retool_2025,outcome_reward / execution_augmented_RL,r = outcome_correctness(final answer) during multi-turn code-execution rollout; exact scalar scale not specified in note extraction.,correct final answer after tool-integrated reasoning,wrong final answer,AIME/math answer checker with code execution observations,trajectory,strategic computational tool use,Outcome-only reward is sparse for long tool-use trajectories.; Bad code execution can compound unless the model learns self-correction.; Models can misuse tools or fall back to brittle heuristics without RL exploration.,high
artist_2025,outcome_based_agentic_RL,"r = outcome_success(task) for trajectories with interleaved reasoning, tool queries, and tool outputs; detailed formula not specified in extracted text.",successful final answer/task outcome,failed solution/task,task/benchmark outcome,trajectory,agentic reasoning and tool integration,Outcome-only RL may leave tool-use credit assignment unresolved.; Tool failures or hallucinated reasoning can be hidden until final evaluation.; Function-calling benchmarks may reward surface call correctness more than robust recovery.,high
ragen_2025,trajectory_level_agent_RL,StarPO views rollouts as state-thinking-actions-reward trajectories and optimizes trajectory-level rewards; exact implementation formula not summarized here.,higher environment trajectory reward,failed trajectory / unstable learning,environment reward across multi-turn rollouts,trajectory,multi-turn LLM agent RL,"Echo Trap: reward variability cliffs and gradient spikes.; Without fine-grained reasoning-aware rewards, agents may learn shallow strategies or hallucinated thoughts.; Rollout diversity and interaction granularity affect stability.",high
search_r1_2025,outcome_answer_correctness,Outcome reward assesses correctness of final response; exact-match is used in experiments unless otherwise noted.,correct final answer after search interactions,incorrect final answer,rule-based answer evaluator / exact match,trajectory,search agents,GRPO may converge faster but can become unstable or collapse after many steps.; Outcome-only rewards give little signal about query quality.; Retrieved irrelevant information can mislead reasoning.,high
toolrl_2025,format_plus_correctness_reward,"R_final = R_format + R_correct; R_format in {0,1}; R_correct = 6*(R_max/S_max)-3 over name, parameter-name, and parameter-value matching.",valid format and matched tool names/parameters/values,invalid format or mismatched tool call components,rule-based matching against ground-truth tool calls,tool call / response,tool selection and application RL,Coarse correctness rewards are sparse for multi-component tool calls.; Overweighting format can lead to format learning without task correctness.; SFT initialization can yield high training rewards but weaker generalization.,medium
bfcl_2024,AST_function_call_metric / benchmark,AST/subtree matching is used as scalable proxy for function execution; exact category formulas vary by BFCL section.,correct function invocation under BFCL evaluator,"wrong function, wrong arguments, irrelevant call, or failed agentic task",BFCL AST/executable/relevance evaluators,call / task / multi-turn episode,function-calling benchmark,"AST/function-call correctness may miss deeper task semantics.; Benchmark versions vary over time and must be cited carefully.; Single-turn strength does not imply memory, dynamic decision-making, or long-horizon competence.",high
agentprm_framework_2025,process_reward_model / Q_value,"Q^pi(s_t,a_t)=E[sum_{k=t}^T gamma^{k-t} r(s_k,a_k)|s_t,a_t]; train PRM on Monte Carlo Q targets; update policy to maximize Q_phi(s,a)-beta KL(pi||pi_prev).",high PRM Q estimate and successful rollout return,low Q estimate or failed rollout,"Monte Carlo rollouts, outcome rewards, expert demonstrations for InversePRM",turn / state-action,LLM agents in external environments,Reward hacking: PRM score can increase while outcome success drops.; PRM accuracy degrades under distribution shift if policy moves too far.; Sparse outcomes make exploration and sample efficiency hard.,high
dmpo_agents_2024,trajectory_preference_optimization,DMPO loss increases likelihood of preferred trajectory tau_w and decreases likelihood of dispreferred tau_l with discounted/length-normalized trajectory log-ratio terms.,preferred/winning trajectory with higher final reward,dispreferred/losing trajectory,trajectory pairs from final rewards in agent environments,trajectory,multi-turn language agents,Behavior cloning suffers compounding errors in dynamic environments.; Noisy preference data and trajectory length disparity affect optimization.; Trajectory-level preferences still provide limited local credit assignment.,high
epo_2024,environment_feedback_preference,"R_rho(F,T,P) scores alignment of proposed output P with feedback F and task T; outputs are ranked to create chosen/rejected preference pairs for EPO.",output ranked high by environment-feedback reward model,incorrect output ranked low,visual/interaction feedback and learned reward model,subgoal/action output,hierarchical embodied agents,Reward model quality depends on grounding environment feedback.; Adjacent embodied setting may not transfer directly to API/tool-use agents.; Long-horizon subgoal errors can propagate to low-level actions.,medium
rlaif_api_code_2024,AI_feedback_reward_model,"LLM feedback score S(t,o) is used to train a reward model; RL fine-tunes the lightweight model against that reward model. Exact scalar formula is partly extracted but not fully normalized here.",higher AI feedback score and executable/correct API code,low feedback score or non-executable/wrong code,larger LLM feedback plus code metrics,code sample,API-usage code generation,Narrow code-generation setting may not represent broad tool-agent RLAIF.; AI feedback quality depends on the larger LLM prompt.; Executability can improve while semantic API appropriateness remains incomplete.,medium
cm2_2026,checklist_reward / LLM_judge,"Checklist item reward fires when an item switches from unsatisfied to satisfied with dependencies met; trajectory reward aggregates weighted checklist rewards across turns/steps/items into R in [0,1].",binary checklist item satisfied with evidence grounding,unsatisfied checklist item or failed criterion,GPT-5 checklist annotation and LLM-as-judge over rollout prefixes,criterion / turn / trajectory,multi-turn multi-step tool-use RL,Dense step assignment can amplify judge noise.; Checklist generation and judging may introduce stochasticity.; Wrong tool information is an explicit failure example in checklist prompts.,high
mua_rl_2025,binary_task_completion,r = 1 iff the agent successfully fulfills the task in accordance with the system prompt; r = 0 otherwise.,task successfully fulfilled,task not fulfilled,task outcome in multi-turn user/tool environment,episode,multi-turn user-interacting tool-use RL,Binary reward is sparse but avoids direct exploitation of syntax rewards.; Dynamic users make rollouts stochastic and harder to optimize.; Dialogue requirements can impede learning correct tool invocation patterns.,high
turn_level_credit_assignment_2025,turn_level_verifiable_and_judge_reward,"Example outcome reward: 1 if exact match and format correct, 0.2 if answer wrong but format correct, -1 if format incorrect. Intermediate reward = retrieval reward + format reward + search-count penalty.","correct retrieval/tool execution, correct format, correct final answer","bad format, excessive search, wrong final answer","exact match, format verifier, retrieval verifier, LLM judge",turn / token advantage,multi-turn search/tool-use RL,Trajectory-level reward aggregation causes poor credit assignment.; GRPO with turn-level advantages can require exponential rollout samples in general K-turn settings.; Verifiable rewards are rigid; LLM-as-judge is more flexible but may be noisy.,high
task_reasoning_grpo_2025,expert_trajectory_verifiable_reward,"Single-turn reward r_piGT(s,a) in {0,1} indicates whether action matches expert trajectory action for state; GRPO improves this single-turn reward and lower-bounds multi-turn success.",action matches expert trajectory / successful planning step,non-expert or wrong action,expert trajectories and environment success,single-turn state-action,multi-turn task planning,"Depends on expert trajectories and unique optimal action assumptions.; Sparse episode rewards and long-horizon credit assignment motivate the decomposition.; Noisy non-expert trajectories can degrade performance, though GRPO shows robustness.",medium
toolprmbench_2026,step_level_PRM_binary_accuracy,"Binary reward/accuracy: 1 if PRM selects the correct action over the plausible incorrect alternative, else 0.",correct action ranked above plausible incorrect action,incorrect action ranked above correct action,offline/online sampled tool trajectories and multi-LLM verification,step / action pair,tool-using PRM evaluation,Early mistakes propagate through long tool-use sequences.; Weak PRMs can amplify incorrect trajectories during reward-guided search.; Label noise requires multi-LLM verification and filtering.,high
