"id","title","source_type","arxiv_id","latest_version","published","updated","abs_url","pdf_url","local_pdf","bytes","verification_source","checked_on"
"agentbench_2023","AgentBench: Evaluating LLMs as Agents","arxiv","2308.03688","v3","2023-08-08","2025-10-04","https://arxiv.org/abs/2308.03688","https://arxiv.org/pdf/2308.03688v3","pdf/agentbench_2023.pdf","23017024","arXiv export API","2026-05-26"
"agenthallu_2026","AgentHallu: Benchmarking Automated Hallucination Attribution of LLM-based Agents","arxiv","2601.06818","v1","2026-01-11","2026-01-11","https://arxiv.org/abs/2601.06818","https://arxiv.org/pdf/2601.06818v1","pdf/agenthallu_2026.pdf","2962894","arXiv export API","2026-05-26"
"agentprm_framework_2025","Process Reward Models for LLM Agents: Practical Framework and Directions","arxiv","2502.10325","v1","2025-02-15","2025-02-15","https://arxiv.org/abs/2502.10325","https://arxiv.org/pdf/2502.10325v1","pdf/agentprm_framework_2025.pdf","4603456","arXiv export API","2026-05-26"
"agenttuning_2023","AgentTuning: Enabling Generalized Agent Abilities for LLMs","arxiv","2310.12823","v2","2023-10-19","2023-10-23","https://arxiv.org/abs/2310.12823","https://arxiv.org/pdf/2310.12823v2","pdf/agenttuning_2023.pdf","3213656","arXiv export API","2026-05-26"
"api_bank_2023","API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs","arxiv","2304.08244","v2","2023-04-14","2023-10-25","https://arxiv.org/abs/2304.08244","https://arxiv.org/pdf/2304.08244v2","pdf/api_bank_2023.pdf","848885","arXiv export API","2026-05-26"
"apigen_2024","APIGen: Automated Pipeline for Generating Verifiable and Diverse Function-Calling Datasets","arxiv","2406.18518","v1","2024-06-27","2024-06-27","https://arxiv.org/abs/2406.18518","https://arxiv.org/pdf/2406.18518v1","pdf/apigen_2024.pdf","2092224","arXiv export API","2026-05-26"
"apigen_mt_2025","APIGen-MT: Agentic Pipeline for Multi-Turn Data Generation via Simulated Agent-Human Interplay","arxiv","2504.03601","v4","2025-04-05","2025-07-20","https://arxiv.org/abs/2504.03601","https://arxiv.org/pdf/2504.03601v4","pdf/apigen_mt_2025.pdf","3062332","arXiv export API","2026-05-26"
"artist_2025","Agentic Reasoning and Tool Integration for LLMs via Reinforcement Learning","arxiv","2505.01441","v1","2025-04-28","2025-04-28","https://arxiv.org/abs/2505.01441","https://arxiv.org/pdf/2505.01441v1","pdf/artist_2025.pdf","1557778","arXiv export API","2026-05-26"
"bfcl_2024","The Berkeley Function Calling Leaderboard (BFCL): From Tool Use to Agentic Evaluation of Large Language Models","openreview","","OpenReview ICML 2025","2025-05-01","2025-07-23","https://openreview.net/forum?id=2GmDdhBdDk","https://openreview.net/pdf?id=2GmDdhBdDk","pdf/bfcl_2024.pdf","1200643","OpenReview API + official PDF","2026-05-26"
"butterfly_toolchains_2025","Butterfly Effects in Toolchains: A Comprehensive Analysis of Failed Parameter Filling in LLM Tool-Agent Systems","arxiv","2507.15296","v1","2025-07-21","2025-07-21","https://arxiv.org/abs/2507.15296","https://arxiv.org/pdf/2507.15296v1","pdf/butterfly_toolchains_2025.pdf","974745","arXiv export API","2026-05-26"
